left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
abm,0.7976510525,0.8914915323,0.8558739424,0.7286256552,0.7118992805,0.7523715496,0.7265145779,0.8724558353,0.8022017479,0.8299982548,0.7387421131,0.8678569794,0.8222746849,0.8042749166,0.82528162,0.8779895306,0.9390606284,0.8144330978,0.8680444956,0.8606976271
aci,0.8592041731,0.7836621404,0.8115204573,0.7087866068,0.79846102,0.7920347452,0.7864920497,0.8239551783,0.7649522424,0.7913962603,0.8338105679,0.811131537,0.7758252621,0.7800129652,0.7927179933,0.8577940464,0.7858859301,0.7433977127,0.7933233976,0.8172721863
acn,0.8789817095,0.8472415209,0.7318240404,0.8254905939,0.7880568504,0.8308439255,0.8204854131,0.7942920923,0.7638841867,0.7531939745,0.8052307367,0.8009110093,0.846364975,0.7637394071,0.8114784956,0.7884331942,0.7989566326,0.7604690194,0.7571469545,0.8714760542
aco,0.8386825323,0.8026287556,0.8532192111,0.8673347235,0.7711950541,0.8500468731,0.8542869091,0.8547748923,0.8349685669,0.7822070122,0.8126109838,0.8093053102,0.7614130378,0.8377131224,0.815912962,0.840041995,0.8222037554,0.7798886299,0.8400270939,0.8185534477
acu,0.7999913692,0.8983699083,0.834754169,0.8827321529,0.8384984732,0.8278785944,0.6214196086,0.8363742828,0.7754865289,0.7643104196,0.8553566933,0.7462089062,0.8955245018,0.7756916285,0.8137385845,0.7178077102,0.7750337124,0.88191998,0.882773757,0.7483890057
acw,0.7694591284,0.8767507076,0.8917835951,0.8622232676,0.8511703014,0.8388670087,0.7360934019,0.8587552309,0.7829733491,0.814183116,0.8711943626,0.7297148108,0.8809832335,0.8580797911,0.803463459,0.86480093,0.7721146941,0.9267953038,0.695271492,0.7915771008
adt,0.8585121632,0.7836117148,0.8488667011,0.881603837,0.9221264124,0.8308176994,0.8361036777,0.7805023193,0.711363554,0.8147085309,0.8366093636,0.8449428082,0.7354933023,0.8399224281,0.8317483664,0.7865792513,0.8368804455,0.8584738374,0.9057734013,0.8071370125
aei,0.7280156612,0.7826865911,0.8895930648,0.7312223315,0.6605921984,0.9149816036,0.8143190145,0.8992978334,0.8734271526,0.8752405643,0.8921294212,0.8666293025,0.8363346457,0.8635562658,0.8958135843,0.8715590835,0.8694338799,0.9224178195,0.8792808056,0.7984329462
aej,0.8621250391,0.8517759442,0.7872468233,0.8344367743,0.7711627483,0.7518659234,0.8776990175,0.7759633064,0.7485547066,0.8177009821,0.8770695925,0.8864319324,0.9035489559,0.8658948541,0.7974693775,0.8430355787,0.8668311834,0.7177426815,0.8650510311,0.8307687044
aem,0.8744633198,0.7895797491,0.8556565046,0.8564711213,0.8401230574,0.8411937952,0.8670822382,0.8355515003,0.7530831099,0.6998618841,0.8461676836,0.7375910282,0.7610929012,0.6817840338,0.88215065,0.9080746174,0.82479918,0.7978025675,0.8752608895,0.8784542084
aes,0.8194081783,0.8711022139,0.8401059508,0.787706852,0.7532182932,0.7178617716,0.7947970629,0.7777320743,0.7941132784,0.8033981919,0.8701660633,0.7968655825,0.7049518824,0.8154318333,0.8549284935,0.7729628086,0.7232694626,0.8490334749,0.841553092,0.8410871029
afd,0.6787741184,0.5240142941,0.6661944985,0.867506206,0.851416707,0.8818365932,0.6344920397,0.7106627822,0.6069281697,0.8077613115,0.8681358099,0.9502241015,0.7049543262,0.8132196665,0.6580226421,0.7487041354,0.746298492,0.7563026547,0.6791706085,0.5970721245
afl,0.7684627771,0.7344930768,0.8574128151,0.6676440835,0.7599617839,0.6627868414,0.8552490473,0.8017926812,0.9233266115,0.8405578136,0.8926149607,0.7121006846,0.860381484,0.8072448373,0.8014194369,0.8218197227,0.7505884767,0.8457012773,0.7779025435,0.8689138889
agb,0.781457901,0.8917629123,0.7621463537,0.8104736805,0.8512321115,0.648485899,0.755566597,0.7451057434,0.8089529872,0.7433314323,0.7250218391,0.8205376267,0.837793529,0.7973361611,0.696862638,0.7690224648,0.8356782198,0.7557678223,0.8114555478,0.7852010131
agl,0.7061064839,0.7590397596,0.7470744848,0.8120288849,0.8025010228,0.735095799,0.7440636754,0.6917077899,0.8006651402,0.8624176979,0.7941396236,0.8220213652,0.699467659,0.7691172361,0.78680861,0.7497190237,0.8247891665,0.7827285528,0.7271158695,0.7974345088
ahg,0.877451539,0.8203690648,0.8380680084,0.894436717,0.6416621804,0.7500321865,0.8526630402,0.9238708615,0.7816254497,0.8406602144,0.8941214085,0.7849802971,0.8054748774,0.864487648,0.7403757572,0.8976507783,0.9370481372,0.908970952,0.8534829617,0.8428469896
ahr,0.8037441969,0.7868785858,0.8598190546,0.6640270948,0.9145281911,0.8245829344,0.7969636917,0.5995493531,0.8388193846,0.7650085092,0.7913908958,0.7745392323,0.9106385708,0.805331111,0.8328729868,0.8279019594,0.7431566715,0.6478774548,0.8855082989,0.5927553177
aik,0.863914907,0.8583703041,0.8132199049,0.8668649197,0.7980456948,0.8866956234,0.9050614834,0.8360118866,0.8662742972,0.8018271327,0.8329008222,0.8228112459,0.8736624718,0.7834239006,0.8422585726,0.9116517305,0.8209178448,0.8625060916,0.8131926656,0.7532179356
aiv,0.7497092485,0.7143445015,0.8413076997,0.6948863268,0.7726344466,0.7665343285,0.7952779531,0.7583436966,0.8080186844,0.7941455841,0.8463205099,0.6678584218,0.8587360382,0.7524546385,0.7657290697,0.7779765129,0.7605342269,0.7578001618,0.8412764072,0.7752231359
